case_id;activity;timestamp;Office;resource;Salary;Contract Type;Department;Seniority
ID_0002;Onboarding Initiated;03/06/2021 1:55;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Completion of Onboarding;07/06/2021 17:43;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Performance Evaluation;14/11/2022 11:00;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Promotion/Salary Adjustment;28/11/2022 6:53;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Learning and Development Program;03/12/2022 11:31;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Annual Performance Review;12/02/2023 14:08;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Offboarding/Retirement;21/02/2023 6:43;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0003;Job Posting;16/04/2021 10:43;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Application Submission;24/04/2021 8:29;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Candidate Screening;24/04/2021 21:46;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Interview Process;28/04/2021 7:34;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Job Offer Extended;07/05/2021 19:16;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Job Offer Accepted;11/05/2021 4:51;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Onboarding Initiated;14/05/2021 0:17;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Initial Training Program;24/05/2021 23:30;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Completion of Onboarding;25/05/2021 23:30;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Performance Evaluation;01/08/2022 8:25;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Learning and Development Program;10/08/2022 21:19;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Annual Performance Review;19/09/2022 4:05;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0003;Offboarding/Retirement;28/09/2022 11:58;San Francisco;QA Engineer;100505;Full-Time;Quality Assurance;Senior
ID_0004;Job Posting;17/03/2021 12:05;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Application Submission;24/03/2021 14:09;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Candidate Screening;25/03/2021 17:02;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Interview Process;29/03/2021 17:17;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Job Offer Extended;12/04/2021 7:27;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Job Offer Accepted;14/04/2021 23:53;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Onboarding Initiated;16/04/2021 0:29;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Completion of Onboarding;23/04/2021 8:25;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Early Termination;17/11/2021 23:18;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Exit Interview;21/11/2021 18:59;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Final Settlement;24/11/2021 16:22;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0004;Offboarding/Retirement;07/12/2021 1:37;Sydney;Software Engineer;94573;Full-Time;Engineering;Junior
ID_0005;Job Posting;13/02/2021 3:26;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Application Submission;19/02/2021 1:31;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Candidate Screening;21/02/2021 3:16;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Interview Process;25/02/2021 16:10;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Job Offer Extended;28/03/2021 9:48;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Job Offer Accepted;07/04/2021 6:54;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Onboarding Initiated;13/04/2021 7:26;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Completion of Onboarding;22/04/2021 1:08;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Performance Evaluation;26/10/2022 23:35;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Promotion/Salary Adjustment;04/11/2022 5:26;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Learning and Development Program;12/11/2022 15:37;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Annual Performance Review;03/02/2023 9:01;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0005;Offboarding/Retirement;11/02/2023 9:19;Berlin;Product Manager;90377;Full-Time;Product Management;Junior
ID_0006;Job Posting;08/11/2021 16:28;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Application Submission;13/11/2021 0:29;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Candidate Screening;13/11/2021 20:33;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Interview Process;16/11/2021 5:44;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Job Offer Extended;24/11/2021 20:46;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Job Offer Accepted;27/11/2021 6:22;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Onboarding Initiated;01/12/2021 16:14;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Initial Training Program;10/12/2021 8:22;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Completion of Onboarding;11/12/2021 8:22;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Performance Evaluation;24/07/2023 16:37;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Learning and Development Program;04/08/2023 20:37;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Annual Performance Review;02/11/2023 14:15;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0006;Offboarding/Retirement;15/11/2023 14:53;New York;Product Manager;129338;Full-Time;Product Management;Mid-level
ID_0007;Job Posting;31/12/2021 22:01;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Application Submission;06/01/2022 2:52;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Candidate Screening;07/01/2022 0:42;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Interview Process;11/01/2022 21:47;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Job Offer Extended;26/01/2022 4:08;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Job Offer Accepted;29/01/2022 21:08;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Onboarding Initiated;06/02/2022 11:58;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Completion of Onboarding;11/02/2022 23:49;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Grievance Raised by Employee;17/10/2023 13:48;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Grievance Resolution Process;25/10/2023 15:37;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Performance Evaluation;14/11/2023 13:35;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Annual Performance Review;27/11/2023 0:00;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0007;Offboarding/Retirement;08/12/2023 11:13;Dubai;QA Engineer;107447;Freelance;Quality Assurance;Senior
ID_0008;Job Posting;06/03/2021 4:16;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Application Submission;11/03/2021 10:16;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Candidate Screening;11/03/2021 22:06;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Interview Process;17/03/2021 6:19;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Job Offer Extended;01/04/2021 0:30;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Job Offer Accepted;04/04/2021 8:02;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Onboarding Initiated;11/04/2021 17:51;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Completion of Onboarding;16/04/2021 9:13;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Performance Evaluation;27/12/2021 18:34;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Promotion/Salary Adjustment;09/01/2022 2:36;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Learning and Development Program;16/01/2022 23:31;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Annual Performance Review;07/04/2022 15:52;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0008;Offboarding/Retirement;21/04/2022 13:41;San Francisco;Product Manager;126596;Part-Time;Product Management;Mid-level
ID_0009;Job Posting;27/06/2021 11:01;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Application Submission;04/07/2021 11:10;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Candidate Screening;06/07/2021 6:17;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Interview Process;12/07/2021 12:49;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Job Offer Extended;16/08/2021 17:39;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Job Offer Accepted;26/08/2021 17:17;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Onboarding Initiated;30/08/2021 20:54;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Initial Training Program;06/09/2021 23:32;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Completion of Onboarding;07/09/2021 23:32;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Performance Evaluation;24/06/2023 1:36;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Learning and Development Program;07/07/2023 16:52;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Annual Performance Review;03/10/2023 16:07;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0009;Offboarding/Retirement;13/10/2023 11:24;London;Software Engineer;132356;Full-Time;Engineering;Senior
ID_0010;Job Posting;08/04/2021 23:24;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Application Submission;12/04/2021 0:54;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Candidate Screening;12/04/2021 3:10;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Interview Process;14/04/2021 3:45;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Job Offer Extended;19/05/2021 17:18;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Job Offer Accepted;25/05/2021 15:38;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Onboarding Initiated;01/06/2021 4:09;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Completion of Onboarding;06/06/2021 3:21;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Performance Evaluation;13/04/2022 1:08;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Promotion/Salary Adjustment;28/04/2022 21:06;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Learning and Development Program;08/05/2022 16:43;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Annual Performance Review;06/07/2022 21:12;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0010;Offboarding/Retirement;17/07/2022 5:07;Berlin;QA Engineer;99199;Full-Time;Quality Assurance;Senior
ID_0011;Job Posting;28/08/2021 3:08;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Application Submission;01/09/2021 1:55;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Candidate Screening;02/09/2021 1:01;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Interview Process;08/09/2021 6:00;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Job Offer Extended;22/09/2021 7:37;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Job Offer Accepted;25/09/2021 8:51;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Onboarding Initiated;01/10/2021 8:58;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Initial Training Program;06/10/2021 19:23;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Completion of Onboarding;07/10/2021 19:23;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Performance Evaluation;23/07/2023 21:45;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Learning and Development Program;04/08/2023 11:04;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Annual Performance Review;14/09/2023 7:36;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0011;Offboarding/Retirement;21/09/2023 10:10;New York;Software Engineer;122498;Freelance;Engineering;Mid-level
ID_0012;Job Posting;22/03/2021 8:04;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Application Submission;27/03/2021 0:49;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Candidate Screening;29/03/2021 7:24;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Interview Process;01/04/2021 15:52;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Job Offer Extended;10/04/2021 16:58;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Job Offer Accepted;14/04/2021 6:50;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Onboarding Initiated;20/04/2021 19:08;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Completion of Onboarding;26/04/2021 18:37;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Performance Evaluation;26/10/2021 22:59;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Promotion/Salary Adjustment;09/11/2021 17:32;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Learning and Development Program;18/11/2021 19:43;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Annual Performance Review;24/12/2021 2:23;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0012;Offboarding/Retirement;06/01/2022 3:45;New York;Software Engineer;123798;Full-Time;Engineering;Mid-level
ID_0013;Job Posting;01/01/2021 0:37;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Application Submission;07/01/2021 19:20;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Candidate Screening;10/01/2021 0:38;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Interview Process;13/01/2021 0:15;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Job Offer Extended;22/01/2021 14:18;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Job Offer Accepted;25/01/2021 8:20;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Onboarding Initiated;01/02/2021 4:39;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Completion of Onboarding;05/02/2021 12:58;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Performance Evaluation;12/08/2021 17:10;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Promotion/Salary Adjustment;24/08/2021 19:59;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Learning and Development Program;04/09/2021 5:21;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Annual Performance Review;19/10/2021 7:18;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0013;Offboarding/Retirement;26/10/2021 13:15;Chicago;Software Engineer;81117;Full-Time;Engineering;Junior
ID_0014;Job Posting;14/05/2021 2:38;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Application Submission;17/05/2021 10:24;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Candidate Screening;19/05/2021 14:55;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Interview Process;23/05/2021 4:51;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Job Offer Extended;02/06/2021 15:17;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Job Offer Accepted;04/06/2021 13:15;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Onboarding Initiated;06/06/2021 6:03;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Completion of Onboarding;11/06/2021 22:56;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Performance Evaluation;10/06/2022 0:37;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Missed Annual Performance Review;24/06/2022 19:19;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Promotion Delayed;25/06/2022 19:19;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Follow-up Performance Evaluation;26/06/2022 19:19;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0014;Offboarding/Retirement;27/06/2022 19:19;Tokyo;Software Engineer;120848;Full-Time;Engineering;Mid-level
ID_0015;Job Posting;22/01/2021 6:02;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Application Submission;27/01/2021 11:58;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Candidate Screening;29/01/2021 6:34;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Interview Process;31/01/2021 16:25;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Job Offer Extended;14/02/2021 12:12;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Job Offer Accepted;15/02/2021 22:14;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Onboarding Initiated;21/02/2021 13:00;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Initial Training Program;26/02/2021 4:46;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Completion of Onboarding;27/02/2021 4:46;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Performance Evaluation;05/03/2022 22:45;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Learning and Development Program;18/03/2022 12:08;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Annual Performance Review;10/05/2022 5:28;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0015;Offboarding/Retirement;24/05/2022 8:09;New York;Software Engineer;140215;Part-Time;Engineering;Senior
ID_0016;Job Posting;31/05/2021 0:15;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Application Submission;03/06/2021 12:52;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Candidate Screening;04/06/2021 15:22;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Interview Process;08/06/2021 22:46;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Job Offer Extended;07/07/2021 20:46;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Job Offer Accepted;13/07/2021 23:40;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Onboarding Initiated;19/07/2021 5:34;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Completion of Onboarding;24/07/2021 14:07;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Early Termination;06/09/2022 6:29;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Exit Interview;12/09/2022 14:05;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Final Settlement;13/09/2022 23:42;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0016;Offboarding/Retirement;25/09/2022 10:03;London;Data Scientist;123046;Full-Time;Data Science;Mid-level
ID_0017;Job Posting;18/08/2021 16:31;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Application Submission;21/08/2021 21:59;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Candidate Screening;22/08/2021 11:25;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Interview Process;29/08/2021 20:28;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Job Offer Extended;08/09/2021 4:46;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Job Offer Accepted;11/09/2021 2:50;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Onboarding Initiated;16/09/2021 4:58;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Completion of Onboarding;22/09/2021 5:58;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Performance Evaluation;24/05/2023 18:03;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Performance Improvement Plan Initiated;09/06/2023 8:33;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Follow-up Evaluation;01/08/2023 22:14;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Annual Performance Review;13/08/2023 16:44;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0017;Offboarding/Retirement;28/08/2023 4:20;New York;Software Engineer;149414;Freelance;Engineering;Senior
ID_0018;Job Posting;22/08/2021 18:37;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Application Submission;28/08/2021 10:11;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Candidate Screening;30/08/2021 4:39;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Interview Process;06/09/2021 2:33;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Job Offer Extended;16/09/2021 10:22;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Job Offer Accepted;19/09/2021 6:44;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Onboarding Initiated;22/09/2021 6:08;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Completion of Onboarding;30/09/2021 7:40;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Performance Evaluation;20/07/2023 18:35;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Promotion/Salary Adjustment;02/08/2023 9:23;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Learning and Development Program;09/08/2023 9:52;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Annual Performance Review;01/10/2023 13:34;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0018;Offboarding/Retirement;12/10/2023 19:56;New York;Software Engineer;145186;Full-Time;Engineering;Senior
ID_0019;Job Posting;27/08/2021 10:49;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Application Submission;31/08/2021 10:11;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Candidate Screening;02/09/2021 9:00;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Interview Process;06/09/2021 1:57;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Job Offer Extended;09/10/2021 1:23;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Job Offer Accepted;15/10/2021 10:33;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Onboarding Initiated;17/10/2021 15:40;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Completion of Onboarding;23/10/2021 10:17;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Performance Evaluation;02/11/2022 4:48;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Missed Annual Performance Review;14/11/2022 9:26;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Promotion Delayed;15/11/2022 9:26;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Follow-up Performance Evaluation;16/11/2022 9:26;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0019;Offboarding/Retirement;17/11/2022 9:26;Berlin;QA Engineer;83651;Freelance;Quality Assurance;Mid-level
ID_0020;Job Posting;31/01/2021 16:31;San Francisco;QA Engineer;77526;Freelance;Quality Assurance;Junior
ID_0020;Application Submission;07/02/2021 7:05;San Francisco;QA Engineer;77526;Freelance;Quality Assurance;Junior
ID_0020;Candidate Screening;07/02/2021 7:52;San Francisco;QA Engineer;77526;Freelance;Quality Assurance;Junior
